,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,chickenpox,STGCN,0.8,rand,4,16,cubic,50,12.168511390686035,149.22167658805847,GConvGRU
1,chickenpox,STGCN,0.8,rand,4,16,nearest,50,2.512889623641968,124.99463510513306,GConvGRU
2,chickenpox,IT-STGCN,0.8,rand,4,16,cubic,50,2.707125186920166,208.6719515323639,GConvGRU
3,chickenpox,IT-STGCN,0.8,rand,4,16,nearest,50,1.6431297063827517,139.97118830680847,GConvGRU
4,chickenpox,STGCN,0.8,rand,4,16,cubic,50,9.801788330078123,147.91983366012573,GConvGRU
5,chickenpox,STGCN,0.8,rand,4,16,nearest,50,2.9918928146362305,176.56760668754578,GConvGRU
6,chickenpox,IT-STGCN,0.8,rand,4,16,cubic,50,2.7551863193511963,150.36450386047363,GConvGRU
7,chickenpox,IT-STGCN,0.8,rand,4,16,nearest,50,1.4979442358016968,231.5244176387787,GConvGRU
8,chickenpox,STGCN,0.8,rand,4,16,cubic,50,9.359063148498535,140.45980668067932,GConvGRU
9,chickenpox,STGCN,0.8,rand,4,16,nearest,50,2.754239082336426,133.40348196029663,GConvGRU
10,chickenpox,IT-STGCN,0.8,rand,4,16,cubic,50,2.8565096855163574,207.71237707138064,GConvGRU
11,chickenpox,IT-STGCN,0.8,rand,4,16,nearest,50,1.5783569812774658,145.46868348121643,GConvGRU
12,chickenpox,STGCN,0.8,rand,4,16,cubic,50,7.418643951416016,169.84692192077637,GConvGRU
13,chickenpox,STGCN,0.8,rand,4,16,nearest,50,2.3804070949554443,123.75489473342896,GConvGRU
14,chickenpox,IT-STGCN,0.8,rand,4,16,cubic,50,2.6661500930786133,175.91387391090393,GConvGRU
15,chickenpox,IT-STGCN,0.8,rand,4,16,nearest,50,1.40688157081604,143.2743239402771,GConvGRU
16,chickenpox,STGCN,0.8,rand,4,16,cubic,50,7.511054992675781,148.17192101478577,GConvGRU
17,chickenpox,STGCN,0.8,rand,4,16,nearest,50,2.7098071575164795,161.06291484832764,GConvGRU
18,chickenpox,IT-STGCN,0.8,rand,4,16,cubic,50,2.080538034439087,123.87001991271973,GConvGRU
19,chickenpox,IT-STGCN,0.8,rand,4,16,nearest,50,1.3584431409835815,209.6120817661285,GConvGRU
20,chickenpox,STGCN,0.8,rand,4,16,cubic,50,9.814451217651367,137.68528175354004,GConvGRU
21,chickenpox,STGCN,0.8,rand,4,16,nearest,50,2.690514326095581,217.87625694274905,GConvGRU
22,chickenpox,IT-STGCN,0.8,rand,4,16,cubic,50,2.6679799556732178,173.43082118034363,GConvGRU
23,chickenpox,IT-STGCN,0.8,rand,4,16,nearest,50,2.3620026111602783,133.66571617126465,GConvGRU
24,chickenpox,STGCN,0.8,rand,4,16,cubic,50,9.643936157226562,197.2716627120972,GConvGRU
